n_bats,duration
1,0.9527642726898193
3,3.0253405570983887
5,6.060324668884277
7,7.60252571105957
9,9.461405992507935
11,11.821096658706665
13,13.647347927093506
15,15.643958330154419
17,16.173717498779297
19,18.843396425247192
21,23.001283407211304
23,24.60448145866394
25,26.609009265899658
27,27.283977270126343
29,32.04021692276001
31,32.0299596786499
33,33.334097146987915
35,36.37193322181702
37,37.50528883934021
39,39.2617552280426
41,40.956199169158936
43,42.880367040634155
45,45.58907651901245
47,49.14488363265991
49,50.71282696723938
1,1.0762286186218262
3,3.108551025390625
5,5.069971323013306
7,7.14656925201416
9,9.388911724090576
11,11.128037452697754
13,13.153934478759766
15,15.13743257522583
17,17.534093141555786
19,19.374417543411255
21,22.21367335319519
23,23.123761415481567
25,25.113928079605103
27,28.817293405532837
29,30.04205822944641
31,32.71638870239258
33,33.37546133995056
35,35.633403062820435
37,37.647215366363525
39,41.60667586326599
41,40.95244741439819
43,42.768967390060425
45,45.05422115325928
47,48.04439616203308
49,49.55620002746582
1,1.0481948852539062
3,3.088744640350342
5,5.514405012130737
7,6.991355895996094
9,9.165021896362305
11,11.727905750274658
13,13.444077968597412
15,15.471498966217041
17,17.522714138031006
19,19.880134344100952
21,21.769969701766968
23,23.67291498184204
25,25.52128553390503
27,27.794563055038452
29,29.641326665878296
31,32.47475218772888
33,34.01081585884094
35,36.3731734752655
37,37.93816137313843
39,41.090885639190674
41,44.19205617904663
43,42.94002079963684
45,46.05933475494385
47,48.92124032974243
49,51.713011741638184
1,1.10756254196167
3,3.180640935897827
5,5.336917161941528
7,7.303244352340698
9,9.459894180297852
11,11.359191179275513
13,13.394552946090698
15,15.50209379196167
17,17.128342151641846
19,19.435493230819702
21,21.601675271987915
23,23.345067501068115
25,26.98292851448059
27,27.925649881362915
29,29.837080240249634
31,32.75083684921265
33,34.739811420440674
35,37.28696370124817
37,39.58456039428711
39,39.841230630874634
41,42.07764387130737
43,43.56937646865845
45,47.33611178398132
47,47.35111737251282
49,50.82304787635803
1,1.0674865245819092
3,3.2818877696990967
5,5.3083555698394775
7,7.403714895248413
9,9.344173908233643
11,11.75537919998169
13,12.938185214996338
15,15.15620493888855
17,17.07021713256836
19,19.08267068862915
21,21.649041414260864
23,23.271125078201294
25,25.475831270217896
27,28.331902265548706
29,29.72502589225769
31,31.639068603515625
33,34.02893924713135
35,35.29588317871094
37,38.349623918533325
39,40.08712840080261
41,42.21339440345764
43,44.68805718421936
45,46.19177865982056
47,47.31532096862793
49,49.41241717338562
1,1.127471923828125
3,3.230811357498169
5,5.310075998306274
7,7.63635778427124
9,8.926298379898071
11,11.37160587310791
13,13.29069995880127
15,15.305770874023438
17,17.120023488998413
19,19.720115423202515
21,22.10857129096985
23,23.511642694473267
25,25.56343936920166
27,28.70384168624878
29,30.144731760025024
31,33.12293887138367
33,35.28717255592346
35,37.07383131980896
