gamma,duration
0.1,370.1379520893097
1.1,265.29509019851685
2.1,261.9143385887146
3.1,251.74109363555908
4.1,265.3853883743286
5.1,255.83821773529053
6.1,254.4955132007599
7.1,257.1647307872772
8.1,244.55392241477966
9.1,255.08596849441528
0.1,258.7489228248596
1.1,257.97653675079346
2.1,250.45764255523682
3.1,257.666867017746
4.1,241.92519450187683
5.1,264.76377272605896
6.1,256.24710607528687
7.1,260.11626505851746
8.1,251.67812705039978
9.1,261.25811553001404
0.1,269.59201669692993
1.1,260.76337599754333
2.1,262.7384946346283
3.1,260.46949338912964
4.1,256.87647128105164
5.1,258.36199378967285
6.1,250.78286123275757
7.1,260.5421357154846
8.1,251.3854784965515
9.1,257.2412705421448
0.1,254.76418161392212
1.1,263.1491529941559
2.1,253.1553041934967
3.1,255.23532247543335
4.1,254.12261152267456
5.1,261.0331687927246
6.1,261.85676431655884
7.1,255.73405385017395
8.1,261.3352656364441
9.1,261.6864204406738
0.1,259.36651277542114
1.1,261.5091338157654
2.1,259.00258207321167
3.1,252.98186540603638
4.1,265.09656381607056
5.1,262.0507781505585
6.1,265.84598684310913
7.1,262.7503192424774
8.1,252.23944878578186
9.1,261.86971259117126
0.1,260.0356628894806
1.1,257.97031831741333
2.1,256.28927659988403
3.1,268.608855009079
4.1,263.1321454048157
5.1,261.0488142967224
6.1,259.9047863483429
7.1,265.8659408092499
8.1,265.3672478199005
9.1,268.76672887802124
0.1,264.9715688228607
1.1,265.679358959198
2.1,259.5912067890167
3.1,265.5031237602234
4.1,261.00743794441223
5.1,260.9184684753418
6.1,269.2275700569153
7.1,265.4665265083313
8.1,268.49334955215454
9.1,269.14862751960754
0.1,272.0937464237213
1.1,269.8240475654602
2.1,268.50953364372253
3.1,270.23010420799255
4.1,268.2467782497406
5.1,266.9586260318756
6.1,252.4694492816925
7.1,267.4801769256592
8.1,264.354444026947
9.1,268.8941512107849
0.1,262.50811982154846
1.1,263.96961522102356
2.1,261.7967462539673
3.1,258.22663259506226
4.1,267.0362215042114
5.1,270.01864767074585
6.1,266.7428557872772
7.1,265.73668670654297
8.1,259.635746717453
9.1,267.64697456359863
0.1,269.85651993751526
1.1,271.75456738471985
2.1,272.64491629600525
3.1,264.1967182159424
4.1,271.76107144355774
5.1,268.20872735977173
6.1,264.1657462120056
7.1,269.86246371269226
8.1,265.96799874305725
9.1,269.50932025909424
0.1,268.3079767227173
1.1,271.592720746994
2.1,267.1126298904419
3.1,265.2581617832184
4.1,268.20505023002625
5.1,259.2821879386902
6.1,271.1299922466278
7.1,259.83919978141785
8.1,264.4174404144287
9.1,265.0618245601654
0.1,264.8101267814636
1.1,271.5105628967285
2.1,276.2040123939514
3.1,281.73720717430115
4.1,263.22145557403564
5.1,259.423983335495
6.1,266.13395142555237
7.1,274.9578318595886
8.1,258.42327189445496
9.1,270.7943000793457
0.1,269.5594973564148
1.1,272.63013529777527
2.1,277.05019760131836
3.1,269.11123514175415
4.1,270.79455852508545
5.1,276.71035742759705
6.1,277.2066180706024
7.1,259.27766847610474
8.1,279.92619490623474
9.1,279.49339175224304
0.1,277.50887155532837
1.1,273.5363097190857
2.1,277.7377097606659
3.1,270.08293652534485
4.1,271.6078336238861
5.1,257.44380235671997
6.1,275.26269245147705
7.1,274.89690589904785
8.1,274.02703189849854
9.1,274.8136577606201
0.1,273.6250936985016
1.1,274.36115288734436
2.1,279.8500175476074
3.1,278.5405304431915
4.1,265.1103959083557
5.1,276.3033061027527
6.1,275.38669085502625
7.1,273.8320300579071
8.1,271.6215229034424
9.1,275.18936800956726
0.1,270.59613966941833
1.1,275.8380808830261
2.1,267.88347148895264
3.1,272.1392185688019
4.1,275.8529419898987
5.1,280.75147223472595
6.1,269.8676083087921
7.1,275.8323576450348
8.1,277.50457859039307
9.1,281.59145402908325
0.1,277.10489153862
1.1,284.5078766345978
2.1,276.2044098377228
3.1,275.37777400016785
4.1,268.6767625808716
5.1,274.7093427181244
6.1,282.3665084838867
7.1,281.51369619369507
8.1,278.9416618347168
9.1,278.3807053565979
0.1,276.82885003089905
1.1,273.3527684211731
2.1,289.1296548843384
3.1,282.0970275402069
4.1,288.85147738456726
5.1,283.3648490905762
6.1,286.14713501930237
7.1,287.15774965286255
8.1,285.58495330810547
9.1,283.419310092926
0.1,279.7663233280182
1.1,275.821170091629
2.1,286.86910820007324
3.1,464.37322425842285
4.1,475.18230962753296
5.1,467.0330512523651
6.1,468.07057070732117
7.1,358.7636330127716
8.1,283.42646837234497
9.1,272.3360044956207
0.1,281.5588972568512
1.1,358.83892154693604
2.1,396.60977959632874
3.1,405.35557985305786
4.1,330.39712500572205
5.1,358.4676287174225
6.1,374.308456659317
7.1,332.8299903869629
8.1,328.4794936180115
9.1,324.77052187919617
