max_iter,best_position,best_features,best_fitness,duration
10,[1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1],[ 0  1  5  6  7  9 10 11 12 13 15 16 20 23 27 29],0.9824561403508771,0.23641538619995117
20,[0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 1 0 1 0 1],[ 4 13 14 15 17 22 23 24 25 27 29],1.0,0.4345071315765381
30,[1 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0],[ 0  1  3  7 10 11 13 14 16 17 18 20 21 22 23 24 25 26 27],0.9824561403508771,0.5779647827148438
40,[1 1 0 1 1 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1],[ 0  1  3  4  5  8 11 12 13 15 20 22 29],0.9824561403508771,0.7145192623138428
50,[1 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0],[ 0  1  4  8  9 11 12 14 16 17 18 21 22 23 24 25 26],0.9824561403508771,0.8746867179870605
60,[1 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0],[ 0  2  5  6  7 11 12 15 17 18 19 21 24 25 27],0.9824561403508771,1.0882315635681152
70,[0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0 0 0 1],[ 2  3  4  7 11 14 15 16 18 19 20 22 23 29],1.0,1.2236337661743164
80,[1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1],[ 0  3  6 13 16 18 19 20 22 23 25 26 29],1.0,1.4634990692138672
90,[1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0],[ 0  1  2  3  5  7  9 11 12 13 16 17 18 21 22 23 27 28],0.9824561403508771,1.5978662967681885
100,[1 1 1 1 0 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1 0 0],[ 0  1  2  3  5  7  8 11 12 13 16 18 20 22 23 24 25 27],0.9824561403508771,1.7342877388000488
110,[1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 0 1],[ 0  2  5  8  9 14 15 16 18 21 22 24 25 26 29],0.9824561403508771,2.0256996154785156
120,[0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 0 0 0 0],[ 1  3  6  8 12 16 17 18 19 22 24],0.9824561403508771,2.1711597442626953
130,[1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 1 0 1 0 1 1 0 0],[ 0  1  2  4  6  9 13 15 16 17 18 21 22 24 26 27],0.9824561403508771,2.372955322265625
140,[0 1 1 0 1 1 0 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1],[ 1  2  4  5  8 11 12 14 15 17 18 19 20 22 24 26 27 28 29],0.9824561403508771,2.6545255184173584
150,[0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1],[ 1  2  3  4  5  6 13 15 17 18 19 20 21 22 26 29],0.9824561403508771,2.694464683532715
160,[0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0 0],[ 1  3  4  6  7  8 10 12 13 14 16 18 19 20 25 26 27],0.9824561403508771,3.382902145385742
170,[0 0 0 0 1 1 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1],[ 4  5  6  7  9 12 13 17 18 20 23 29],1.0,3.7268857955932617
180,[1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1],[ 0  2  3  4  5 12 13 14 15 17 23 25 29],1.0,3.8125479221343994
190,[1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0],[ 0  1  4  5  6  8  9 11 12 13 17 18 21 23 24 27 28],0.9824561403508771,3.9933242797851562
200,[1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1],[ 0  2  4  5  7  8 13 17 18 19 20 22 29],1.0,4.603810787200928
